name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Mason Holgate,DEF,Everton,0.0,0,0,0,0,0.0,178,122,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,3,0,0,0,0,13,0,35621,0,1,0.0,0,-3201,55,3256,42,False,0,13
Mason Mount,MID,Chelsea,1.7,0,0,3,0,11.8,138,125,0,0,1.4,2.4,2021-11-28T16:30:00Z,12,13,0,0,0,0,13,0,1171202,1,1,0.0,1,-59318,53074,112392,75,True,0,13
Mateo Kovacic,MID,Chelsea,0.0,0,0,0,0,0.0,125,125,0,0,0.0,0.0,2021-11-28T16:30:00Z,0,13,0,0,0,0,13,0,277428,1,1,0.0,0,-79484,722,80206,51,True,0,13
Mateusz Klich,MID,Leeds,0.2,0,0,0,0,0.0,186,123,0,0,0.0,0.0,2021-11-27T17:30:00Z,0,4,0,0,0,0,13,0,37404,0,0,0.0,0,-2357,480,2837,54,False,0,13
Mathew Ryan,GK,Brighton,0.0,0,0,0,0,0.0,65,123,0,0,0.0,0.0,2021-11-27T17:30:00Z,0,10,0,0,0,0,13,0,663,0,0,0.0,0,-10,0,10,45,True,0,13
Mathias Jensen,MID,Brentford,1.0,0,0,0,0,0.0,86,122,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,8,0,0,0,0,13,0,6663,0,1,0.0,0,-992,128,1120,49,True,0,13
Mathias Jorgensen,DEF,Brentford,0.1,0,0,0,0,0.0,594,122,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,8,0,0,0,0,13,0,4761,0,1,0.0,0,-1475,15,1490,45,True,0,13
Mathias Normann,MID,Norwich,2.7,0,0,3,0,0.5,581,130,0,0,0.0,0.0,2021-11-27T15:00:00Z,34,20,0,0,0,0,13,0,48845,0,0,0.0,1,14034,17933,3899,45,True,0,13
Matthew Cash,DEF,Aston Villa,2.0,0,0,12,0,3.9,44,126,1,0,2.3,15.2,2021-11-27T15:00:00Z,90,7,0,0,0,0,13,0,317949,2,1,4.0,1,-12086,12082,24168,51,False,1,13
Matthew Cox,GK,Brentford,0.0,0,0,0,0,0.0,619,122,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,8,0,0,0,0,13,0,1526,0,1,0.0,0,-95,281,376,40,True,0,13
Matthew Longstaff,MID,Newcastle,0.0,0,0,0,0,0.0,312,121,0,0,0.0,0.0,2021-11-27T12:30:00Z,0,1,0,0,0,0,13,0,3730,0,2,0.0,0,-63,0,63,45,False,0,13
Matthew Pollock,DEF,Watford,0.0,0,0,0,0,0.0,454,127,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,9,0,0,0,0,13,0,29883,2,4,0.0,0,-787,0,787,40,False,0,13
Matt Ritchie,DEF,Newcastle,0.5,0,0,3,0,0.3,292,121,2,0,0.0,0.0,2021-11-27T12:30:00Z,66,1,0,0,0,0,13,0,21595,0,2,0.0,0,-1239,1743,2982,49,False,1,13
Matt Targett,DEF,Aston Villa,4.2,0,0,23,0,3.3,39,126,1,1,7.2,51.4,2021-11-27T15:00:00Z,90,7,0,0,0,0,13,0,188890,2,1,17.0,8,-2754,4796,7550,47,False,0,13
Mattéo Guendouzi,MID,Arsenal,0.0,0,0,0,0,0.0,25,121,0,0,0.0,0.0,2021-11-27T12:30:00Z,0,14,0,0,0,0,13,0,102,0,2,0.0,0,-2,0,2,45,True,0,13
Maxwell Haygarth,MID,Brentford,0.0,0,0,0,0,0.0,628,122,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,8,0,0,0,0,13,0,47,0,1,0.0,0,36,45,9,45,True,0,13
Max Aarons,DEF,Norwich,2.7,0,0,20,1,12.7,326,130,0,0,5.9,13.6,2021-11-27T15:00:00Z,90,20,0,0,0,0,13,0,104560,0,0,33.0,6,85,3467,3382,43,True,0,13
Max Kilman,DEF,Wolves,5.7,0,0,25,1,2.1,439,130,0,0,1.7,12.8,2021-11-27T15:00:00Z,90,15,0,0,0,0,13,0,38203,0,0,2.0,6,4610,6376,1766,45,False,0,13
Mbwana Ally Samatta,FWD,Aston Villa,0.0,0,0,0,0,0.0,48,126,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,7,0,0,0,0,13,0,60,2,1,0.0,0,-2,0,2,55,False,0,13
Michael Keane,DEF,Everton,3.8,0,0,16,0,1.4,169,122,1,0,2.8,18.8,2021-11-28T14:00:00Z,90,3,0,0,0,0,13,0,234459,0,1,8.0,2,-8609,7017,15626,50,False,0,13
